1.870000000000000000e+03,nan
1.871000000000000000e+03,nan
1.872000000000000000e+03,nan
1.873000000000000000e+03,nan
1.874000000000000000e+03,nan
1.875000000000000000e+03,nan
1.876000000000000000e+03,nan
1.877000000000000000e+03,nan
1.878000000000000000e+03,nan
1.879000000000000000e+03,nan
1.880000000000000000e+03,nan
1.881000000000000000e+03,nan
1.882000000000000000e+03,nan
1.883000000000000000e+03,nan
1.884000000000000000e+03,nan
1.885000000000000000e+03,nan
1.886000000000000000e+03,nan
1.887000000000000000e+03,nan
1.888000000000000000e+03,nan
1.889000000000000000e+03,nan
1.890000000000000000e+03,nan
1.891000000000000000e+03,nan
1.892000000000000000e+03,nan
1.893000000000000000e+03,nan
1.894000000000000000e+03,nan
1.895000000000000000e+03,nan
1.896000000000000000e+03,nan
1.897000000000000000e+03,nan
1.898000000000000000e+03,0.000000000000000000e+00
1.899000000000000000e+03,0.000000000000000000e+00
1.900000000000000000e+03,0.000000000000000000e+00
1.901000000000000000e+03,0.000000000000000000e+00
1.902000000000000000e+03,0.000000000000000000e+00
1.903000000000000000e+03,1.089324618736383548e-03
1.904000000000000000e+03,nan
1.905000000000000000e+03,nan
1.906000000000000000e+03,0.000000000000000000e+00
1.907000000000000000e+03,nan
1.908000000000000000e+03,nan
1.909000000000000000e+03,nan
1.910000000000000000e+03,0.000000000000000000e+00
